Ext,HDU,Keyword,Description,Units,Data Type,Value,Range,Source,Keep,comment
Current classes of headers are:,,,,,,,,,n,
- Observatory,,,,,,,,,n,
- CCD (R/G),,,,,,,,,n,
-telescope,,,,,,,,,n,
-queue,,,,,,,,,n,
-Archon,,,,,,,,,n,
-etalon,,,,,,,,,n,
-calibration,,,,,,,,,n,
-lfc,,,,,,,,,n,
-aux,,,,,,,,,n,
-vaccume_cart,,,,,,,,,n,
-crypt,,,,,,,,,n,
-electronics,,,,,,,,,n,
,,,,,,,,,n,
0,0,SIMPLE,conforms to FITS standard,N/A,Bool,T,fixed,neid,n,
0,0,BITPIX,array data type,N/A,UInt,8,fixed,neid,n,
0,0,NAXIS,number of array dimensions,N/A,Uint,0,fixed,neid,n,
0,0,EXTEND,may the FITS file contain extensions?,N/A,Bool,T,fixed,neid,n,
0,0,CHECKSUM,HDU checksum updated 2020-12-20T03:20:59,N/A,string,Computed by astropy.io.fits,N/A,neid,n,
0,0,DATASUM,data unit checksum updated 2020-12-20T03:20:59,N/A,float,Computed by astropy.io.fits,N/A,neid,n,
0,0,ORIGIN,File Originator,N/A,string,astropy.fits',N/A,neid,y,
0,0,INSTRUME,Instrument Name,N/A,string,KPF,fixed,neid,y,
0,0,DATALVL,Data Product Base Level,N/A,Uint,"0,1,2","0,1,2",neid,y,
0,0,DATATMP,Data Temporary Intermediate Product,N/A,Bool,T/F,T/F,neid,y,
0,0,OBSERVER,Observer Name,N/A,string,Classical Observer Name or Queue,N/A,neid,y,
0,0,TIMESYS,Time Scale,N/A,string,UTC,fixed,neid,y,
0,0,PROGRAM,Observing Program ID,N/A,string,Keck Prog ID,N/A,neid,y,
0,0,PINAME,Program PI Name,N/A,string,Keck PI,N/A,neid,y,
0,0,OBSTYPE,Observation Type,N/A,string,"Sci', 'Eng','Cal','Tst'","Sci', 'Eng','Cal','Tst'",neid,y,
0,0,OBS-MODE,Observing Mode,N/A,string,HR/LR,HR/LR,neid,y,
0,0,OBJECT,Object Name,N/A,string,HD10700,NA,neid,y,
0,0,FILENAME,Name of this FITS File,N/A,string,KPFL#_YYYYMMDDThhmmss.fits,N/A,neid,y,
0,0,DATE,File Creation Date (UTC),N/A,string,2020-12-20T01:41:48.123',N/A,neid,y,
0,0,DATE-OBS,Obs Date Exp Start (UTC),UTC,string,2020-12-20T01:41:48.123',N/A,neid,y,
0,0,OBSJD,Julian Date of DATE-OBS,day,double,ex: 2459203.638461609 ,N/A,neid,y,
0,0,EXPTIME,Exposure Time (s),s,float,,>=0,neid,y,
