Chip,Fiber,Order,Coeff0,Coeff1,Coeff2,Coeff3,BottomEdge,TopEdge,X1,X2,PolyfitRMS,Status
GREEN,SKY,0,23.377623984816115,-0.007072546123587572,2.406082118502741e-06,-9.83059654129451e-10,8.900942633656095,7.7552946076539415,0.0,2208.0,0.45516409949293474,partial
GREEN,SCI1,0,43.465891387791416,-0.005039498237627274,-7.490125440630906e-07,8.78887619929682e-12,7.9618169601574555,7.876254915702734,0.0,4079.0,0.16270443192178996,full
GREEN,SCI2,0,61.620099157448415,-0.00489154576073643,-7.716547054229967e-07,1.7488391442880643e-11,8.0771038848285,8.30556676638432,0.0,4079.0,0.06291446041144694,full
GREEN,SCI3,0,80.23123269021706,-0.00481003249793241,-7.828516518336518e-07,2.0238336982940753e-11,7.568382019424468,7.105802002157404,0.0,4079.0,0.04914072334472511,full
GREEN,CAL,0,96.67445723181704,-0.004806125521132804,-8.491815519575489e-07,3.353438433449026e-11,4.516079826582951,5.106398001327648,0.0,4079.0,0.05495067969897841,full
GREEN,SKY,1,110.78163538165144,-0.005026628530251359,-6.984649413152167e-07,1.973564388868602e-11,6.01004822603219,8.568311033616354,0.0,4079.0,0.04552121268672632,full
GREEN,SCI1,1,131.01386019256063,-0.005145180458822523,-6.526616052849083e-07,1.410089618496951e-11,8.250876843335957,7.75550529593558,0.0,4079.0,0.043707463822035504,full
GREEN,SCI2,1,149.18063234715936,-0.004920273558170944,-6.770637038531164e-07,1.6124995603550757e-11,8.083386077299366,8.326223619155243,0.0,4079.0,0.043056168164535634,full
GREEN,SCI3,1,167.83307958546985,-0.004850689328111367,-6.826733043564772e-07,1.7292815446143197e-11,7.585346245266763,7.090084477131612,0.0,4079.0,0.049720151418328036,full
GREEN,CAL,1,184.20395529077007,-0.004719708205423534,-7.899773460318926e-07,3.29859203559142e-11,4.476359946380209,4.468539738699179,0.0,4079.0,0.058311612692490196,full
GREEN,SKY,2,199.6635885357097,-0.004833509473909363,-7.089067821472222e-07,3.110400156015698e-11,6.7095104447604825,8.423494454711095,0.0,4079.0,0.038632090311855716,full
GREEN,SCI1,2,219.87764717778754,-0.005032242645822368,-6.205559290969953e-07,1.9892720999797744e-11,8.009825305343952,8.079540479314911,0.0,4079.0,0.03844051598918946,full
GREEN,SCI2,2,238.06436075293908,-0.004808872259899834,-6.532134188542114e-07,2.3444702213670024e-11,8.093356787575772,8.34143592925389,0.0,4079.0,0.042738210135522633,full
GREEN,SCI3,2,256.74723261144686,-0.004787875965201273,-6.280755871559784e-07,1.9621689915915804e-11,7.745985792779044,7.044120060731828,0.0,4079.0,0.046605811458026704,full
GREEN,CAL,2,273.12676324822553,-0.004748261415861538,-6.646594081677624e-07,2.191752271592143e-11,4.47629356525189,4.545979258666265,0.0,4079.0,0.057121574680547536,full
GREEN,SKY,3,289.9618994922405,-0.004747778115707019,-6.556718967589497e-07,3.177031270883572e-11,7.417568122007481,8.458153770548321,0.0,4079.0,0.03942729221819612,full
GREEN,SCI1,3,310.13408468655354,-0.00494868033415898,-5.651699368456189e-07,2.0480506364909336e-11,7.927206934471298,8.063811975943553,0.0,4079.0,0.03545850682100713,full
GREEN,SCI2,3,328.3059715149701,-0.004670192169461188,-6.306536056830481e-07,2.9348750005582425e-11,8.085943414208288,8.345867620988912,0.0,4079.0,0.03575731281048476,full
