Chip,Fiber,Order,Coeff0,Coeff1,Coeff2,Coeff3,BottomEdge,TopEdge,X1,X2,PolyfitRMS,Status
GREEN,SKY,0,22.47725686202676,-0.00700696857164659,2.598159033124485e-06,-1.1263273916136606e-09,9.08470265499543,8.172117957894685,0.0,2072.0,0.4494937540273331,partial
GREEN,SCI1,0,42.61123875258838,-0.005085442633148327,-7.581243930050061e-07,1.098038993202543e-11,7.978563693820857,7.914520537547133,0.0,4079.0,0.17275740212920068,full
GREEN,SCI2,0,60.853903465676076,-0.004946285101909643,-7.842835283711416e-07,2.103541647316068e-11,8.12133235654385,8.339657697588976,0.0,4079.0,0.07822982164993779,full
GREEN,SCI3,0,79.53349766931308,-0.0049515922715986475,-7.588456896044678e-07,1.9300991153127446e-11,7.564834578632699,7.11370894169734,0.0,4079.0,0.05895499759627413,full
GREEN,CAL,0,95.90403729872621,-0.004858993897791851,-8.479985625564329e-07,3.3877712424925196e-11,4.768596679865318,5.410370550460612,0.0,4079.0,0.06852737217551999,full
GREEN,SKY,1,109.91219288863755,-0.004987906457791944,-7.534318120354509e-07,2.883579469960026e-11,5.981239542267424,8.559548675344354,0.0,4079.0,0.04619485320756805,full
GREEN,SCI1,1,130.147136889769,-0.0051234194412288474,-7.058772211382882e-07,2.4599558864758925e-11,8.189076146173496,7.74590368552882,0.0,4079.0,0.04037523983089326,full
GREEN,SCI2,1,148.43297252418643,-0.004926594720847571,-7.260498855541788e-07,2.5582811386375212e-11,8.142917817208712,8.335787792468338,0.0,4079.0,0.04461121704385035,full
GREEN,SCI3,1,167.1045481091231,-0.00490293772494241,-6.943987077586157e-07,2.0155392927430716e-11,7.5528830746134785,7.071198163410358,0.0,4079.0,0.05701302577489088,full
GREEN,CAL,1,183.41100209089075,-0.004739781820298575,-7.861421511464622e-07,3.0423637841644715e-11,4.715995945396417,4.5249977981877185,0.0,4079.0,0.0625211420615247,full
GREEN,SKY,2,198.79783263791631,-0.004812140185429576,-7.467723931864278e-07,3.6906328054916655e-11,6.6787081592288615,8.67911741875464,0.0,4079.0,0.04094420700641196,full
GREEN,SCI1,2,219.01733708621265,-0.005040020910050343,-6.385077932956776e-07,2.2067345845724916e-11,7.984729349444825,8.072391800872484,0.0,4079.0,0.04754864568444294,full
GREEN,SCI2,2,237.2787075908298,-0.004731294219856591,-7.375333851198073e-07,3.758607245576943e-11,8.13068525230858,8.359511647894934,0.0,4079.0,0.04464450576677725,full
GREEN,SCI3,2,256.0221024937842,-0.004822391067646283,-6.437202127211721e-07,2.1788781995038552e-11,7.722151854183524,7.032053821964567,0.0,4079.0,0.04814325650550317,full
GREEN,CAL,2,272.27194432037373,-0.004678090363703891,-6.986765456034519e-07,2.3852217279154914e-11,4.473736520488901,4.688289043539116,0.0,4079.0,0.0634007079362706,full
GREEN,SKY,3,289.11627676407966,-0.004755722727403651,-6.786410086336598e-07,3.5344425490946214e-11,7.39909222218796,8.611032810137134,0.0,4079.0,0.03653897710638598,full
GREEN,SCI1,3,309.28146805821865,-0.0049441543218919585,-5.903914232333945e-07,2.369669145882139e-11,7.908345292705432,8.010575234656121,0.0,4079.0,0.044622822921017734,full
GREEN,SCI2,3,327.5492589292707,-0.004688478385275311,-6.473344167246577e-07,3.101645617417505e-11,8.133895435526028,8.352790063509786,0.0,4079.0,0.04213974310052186,full
GREEN,SCI3,3,346.2548390562903,-0.004610023652752868,-6.691727119998363e-07,3.5524252450421514e-11,7.813384836935073,7.003943490390668,0.0,4079.0,0.042473198593380154,full
GREEN,CAL,3,362.5786754845104,-0.004724388610271126,-5.721240478083952e-07,1.3950209949362411e-11,4.580364118952517,4.348875574686121,0.0,4079.0,0.06262488738670059,full
GREEN,SKY,4,380.79454492029373,-0.004637993160453511,-6.485063802518715e-07,4.0344937801276566e-11,8.107934717891652,8.389987904357966,0.0,4079.0,0.035780360009576885,full
GREEN,SCI1,4,400.9308969546723,-0.00479361320330679,-5.85855090005325e-07,3.3850853263578685e-11,8.21112664217117,7.724309596744329,0.0,4079.0,0.03482596376391918,full
GREEN,SCI2,4,419.2154624286159,-0.0045694880241348495,-6.337640424853072e-07,4.08466037309251e-11,8.142282736971822,8.359708031947406,0.0,4079.0,0.040268214751278605,full
GREEN,SCI3,4,437.93487849251073,-0.004558830851059059,-5.937339838103864e-07,3.2662375455697995e-11,7.75224603000289,7.031325853620814,0.0,4079.0,0.04297418137542267,full
GREEN,CAL,4,454.206902654664,-0.004584833590876171,-5.524512500891902e-07,2.1019384473568593e-11,4.604365147262332,4.736215471993951,0.0,4079.0,0.05705608352072646,full
GREEN,SKY,5,473.9355000082305,-0.004623957331458453,-5.603596485777488e-07,3.62717680479739e-11,8.84814258571609,8.516177695001499,0.0,4079.0,0.03580425423077046,full
GREEN,SCI1,5,494.0273250321561,-0.004721436154666263,-5.298700294386077e-07,3.481783279171193e-11,8.10036742078232,7.952578839622305,0.0,4079.0,0.032429355231398255,full
GREEN,SCI2,5,512.2881093725723,-0.0044393256438499794,-5.96166003527983e-07,4.290439213448807e-11,8.130392170208097,8.35993778682763,0.0,4079.0,0.03975237000187624,full
GREEN,SCI3,5,531.0079849462276,-0.0043859410693120335,-6.02954292281694e-07,4.5319530359321925e-11,7.679250114383081,6.956982054270952,0.0,4079.0,0.03410164466318293,full
GREEN,CAL,5,547.3294788213528,-0.0045807387407997896,-4.4683721270151337e-07,1.2749192521997043e-11,4.551242437264119,4.426609079312634,0.0,4079.0,0.06452941058049397,full
GREEN,SKY,6,568.47218931216,-0.004491019428299861,-5.334220436055005e-07,4.231783014289803e-11,8.971908293325727,8.591843719185372,0.0,4079.0,0.02906357916743162,full
GREEN,SCI1,6,588.5535916851896,-0.004579595086510998,-5.090109559797246e-07,4.18468580005535e-11,8.059250621985415,7.927569709399759,0.0,4079.0,0.03161905003027483,full
