Chip,Fiber,Order,Coeff0,Coeff1,Coeff2,Coeff3,BottomEdge,TopEdge,X1,X2,PolyfitRMS,Status
GREEN,SKY,0,23.290113346376437,-0.006514817189812926,1.6159972570843824e-06,-7.437204334990697e-10,8.62506729799393,8.059224530422398,0.0,2222.0,0.3298766506553967,partial
GREEN,SCI1,0,43.40590915767353,-0.004980535230737382,-7.802926054372957e-07,1.4628421896767623e-11,7.915352632284628,7.932143471603189,0.0,4079.0,0.1285136948751284,full
GREEN,SCI2,0,61.651460301907775,-0.004828196889296182,-8.006299674787467e-07,2.1567727379808114e-11,8.122775572117124,8.322378113502097,0.0,4079.0,0.051268360580905295,full
GREEN,SCI3,0,80.29621652891197,-0.004750742118610754,-8.027090390977848e-07,2.1173332459731873e-11,7.677533603456329,7.049324276354021,0.0,4079.0,0.04189409341838028,full
GREEN,CAL,0,96.6970960659064,-0.004878316769053897,-8.359086489798421e-07,3.5627630237708236e-11,4.450311608657357,5.240552439056915,0.0,4079.0,0.055583877880145474,full
GREEN,SKY,1,110.73267805349958,-0.004988614877616975,-7.017642891962361e-07,1.7837776253934117e-11,6.005745330239755,8.595885783559423,0.0,4079.0,0.05133844926772503,full
GREEN,SCI1,1,130.97264298626556,-0.00509316251132276,-6.692966981614123e-07,1.4455587149378676e-11,8.094574919650704,7.8019458363724,0.0,4079.0,0.04302516856267151,full
GREEN,SCI2,1,149.22607982900743,-0.0048746376654978316,-6.91133107592461e-07,1.6268923299942473e-11,8.126718421370938,8.335896468942124,0.0,4079.0,0.049624750376564095,full
GREEN,SCI3,1,167.89787276689168,-0.004794395980794645,-6.993776587806244e-07,1.772850166666999e-11,7.787656936427787,7.051126964815978,0.0,4079.0,0.046446921162692716,full
GREEN,CAL,1,184.20686540796902,-0.004728328081677826,-8.114369064617905e-07,4.0084458652828834e-11,4.492170334335705,4.515353459795889,0.0,4079.0,0.05871135831678983,full
GREEN,SKY,2,199.65490589004622,-0.004995958413772008,-5.994901596255416e-07,1.2679559769233957e-11,6.677474611302287,8.565277841808372,0.0,4079.0,0.044658796721538635,full
GREEN,SCI1,2,219.84193819901802,-0.005041036922910495,-6.037421851928831e-07,1.5754464098199857e-11,7.96502712181719,8.132963414658416,0.0,4079.0,0.044553566865038814,full
GREEN,SCI2,2,238.13875595543644,-0.004903711166178625,-5.851634200041907e-07,1.112225091274546e-11,8.14840887820921,8.352099861452373,0.0,4079.0,0.04502843858808951,full
GREEN,SCI3,2,256.8429556783412,-0.004845511715163398,-5.884283282925116e-07,1.2463437105971496e-11,7.927496595314184,7.047582613056406,0.0,4079.0,0.04875842156477947,full
GREEN,CAL,2,273.0590447555937,-0.004627697944093948,-7.494378114081083e-07,3.790225224923053e-11,4.592934177531438,4.498821646882174,0.0,4079.0,0.057069398843501574,full
GREEN,SKY,3,289.9240196021724,-0.00485606725084454,-5.86132204589559e-07,2.0910309639935863e-11,7.38904747116689,8.455150588666124,0.0,4079.0,0.040467788680011614,full
GREEN,SCI1,3,310.1153804732817,-0.00500602124988579,-5.288809037292235e-07,1.4572648836950344e-11,7.8239512421721695,8.06785533825785,0.0,4079.0,0.03802300798514863,full
GREEN,SCI2,3,328.3894200647057,-0.004788647954502832,-5.591787477629393e-07,1.786596911448955e-11,8.137019795712007,8.35892606053261,0.0,4079.0,0.04158889568183685,full
GREEN,SCI3,3,347.1072721857709,-0.004748518830798501,-5.492401005300929e-07,1.6853357421755666e-11,7.9862076285192725,7.02061089595864,0.0,4079.0,0.04068608949709887,full
GREEN,CAL,3,363.2747782375417,-0.004476632827206784,-7.25222543837524e-07,4.206406911476976e-11,4.656071944319234,4.314261193153992,0.0,4079.0,0.0598296920737469,full
GREEN,SKY,4,381.6042687745706,-0.00475414193070725,-5.546701889973663e-07,2.6672234141594787e-11,8.103268590473618,8.472552177308948,0.0,4079.0,0.039638621088494384,full
GREEN,SCI1,4,401.76747341130493,-0.004912218625939601,-4.868852116622067e-07,1.8175610641149226e-11,8.11394016869756,7.867391694903087,0.0,4079.0,0.038581785956541305,full
GREEN,SCI2,4,420.04985226695226,-0.004682173376964018,-5.260004499790024e-07,2.2920310435418396e-11,8.141189427823662,8.362355531084972,0.0,4079.0,0.03663512893919192,full
GREEN,SCI3,4,438.7745633291222,-0.00464706295140955,-5.164717186469152e-07,2.2410414367525377e-11,7.941227931569895,7.022116276299755,0.0,4079.0,0.03925198883656818,full
GREEN,CAL,4,454.98379780278225,-0.004504713653998011,-6.137645360674357e-07,3.527574928661351e-11,4.585110322532295,4.528740998554107,0.0,4079.0,0.055716828862213456,full
GREEN,SKY,5,474.7012731235737,-0.004655658352174289,-5.124959430702342e-07,2.986252792486865e-11,8.769033371859763,8.501008278551392,0.0,4079.0,0.03747849402247213,full
GREEN,SCI1,5,494.85928171052814,-0.0048313576069582455,-4.3644612242931365e-07,2.0509855553311438e-11,8.015590872783605,7.996013766070336,0.0,4079.0,0.03792511006518348,full
GREEN,SCI2,5,513.1491843483759,-0.00461393834167371,-4.653727293505249e-07,2.358353572887931e-11,8.144951318923887,8.35831568252621,0.0,4079.0,0.034690954273804,full
GREEN,SCI3,5,531.8658157134283,-0.004530237614935618,-4.795206078218905e-07,2.5943428070166097e-11,7.8772653250019244,6.985504503837603,0.0,4079.0,0.03806524121274628,full
