CALTAG, UT_start_date,       UT_end_date,         CALPATH,  comment
1.0,    2000-01-01 00:00:00, 2024-02-03 00:00:00, /data/reference_fits/rough_wls_thar/Thorium_rough_wls_20231004_all_fib.fits, Delivery -> SM1
2.0,    2024-02-03 00:00:01, 2024-11-01 12:00:00, /data/reference_fits/rough_wls_thar/Thorium_rough_wls_20240421_all_fib.fits, SM1 -> SM2
3.0,    2024-11-01 12:00:01, 2025-03-10 23:00:00, /data/reference_fits/rough_wls_thar/Thorium_rough_wls_20250122_all_fib.fits, SM2 -> SM3
4.0,    2025-03-10 23:00:00, 2025-08-29 20:30:00, /data/reference_fits/rough_wls_thar/Thorium_rough_wls_20250623_all_fib.fits, SM3 -> SM4
5.0,    2025-08-29 20:30:00, 2100-08-29 20:30:00, /data/reference_fits/rough_wls_thar/Thorium_rough_wls_20251029_all_fib.fits, SM4 -> Current
