CALTAG, UT_start_date,       UT_end_date,         CALPATH,  comment
1.0,    2000-01-01 00:00:00, 2024-02-03 00:00:00, /data/L1/KP.20230418.57408.00_L1.fits,
2.0,    2024-02-03 00:00:01, 3000-01-01 00:00:00, ,
