CALTAG, UT_start_date,       UT_end_date,         CALPATH,  comment
1.0,    2000-01-01 00:00:00, 2024-02-03 00:00:00, /data/L1/20230418/KP.20230418.57408.00_L1.fits, all orders
2.0,    2024-02-03 00:00:01, 2024-11-10 00:00:00, /data/L1/20240222/KP.20240222.52661.63_L1.fits, Green orders 0-11 lost
3.0,    2024-11-10 00:00:00, 3000-01-01 00:00:00, /data/L1/20241203/KP.20241203.34178.69_L1.fits, Green orders 0-2 lost
