,Coeff0,Coeff1,Coeff2,Coeff3,BottomEdge,TopEdge,X1,X2,Fiber,Order
0,23.792427125717097,-0.0043407193270679515,-1.5604900208786204e-06,1.9518944634538063e-10,9.2797999999999998,9.2797999999999998,0,3602,SKY,1
1,43.286107203705512,-0.0049997982278119392,-8.1292982680067406e-07,2.4266034135868848e-11,9.0977999999999994,9.0068999999999999,0,3725,SCI1,1
2,61.723125632349515,-0.0045747369237514228,-1.0588658303447533e-06,7.976311773195898e-11,8.7865000000000002,9.5386000000000006,0,3670,SCI2,1
3,80.329646773745694,-0.0047315557001572145,-8.5547146646334687e-07,3.5292449704244545e-11,8.1473999999999993,8.9380000000000006,0,3633,SCI3,1
4,96.652387241517545,-0.0049808933397913055,-7.4798003437789821e-07,2.0003660815605427e-11,6.2190000000000003,6.2190000000000003,0,4079,CAL,1
5,111.08574454224306,-0.0043078145992638912,-1.3891162517904852e-06,1.6593711430210016e-10,9.3544999999999998,9.3544999999999998,0,3794,SKY,2
6,130.85606053410274,-0.0050497381438656449,-7.0188656404631848e-07,2.0329589927671452e-11,9.3201000000000001,9.0290999999999997,0,3873,SCI1,2
7,149.27019234373475,-0.0046916622710312487,-8.5774747802664758e-07,5.2590221428481911e-11,8.7486999999999995,9.6586999999999996,0,3816,SCI2,2
8,167.8997129926766,-0.004744251303547377,-7.865742602386181e-07,3.9787806510564508e-11,8.0396999999999998,8.9974000000000007,0,3779,SCI3,2
9,184.12156266671326,-0.0047799759181477077,-7.3874024057134689e-07,2.5548719005545809e-11,6.1852,6.1852,0,4079,CAL,2
10,199.99128324637195,-0.0047428631194405772,-9.1489599001176071e-07,8.0213023159423767e-11,9.4870999999999999,9.4870999999999999,0,3894,SKY,3
11,219.74867920315887,-0.0050502592094711423,-6.0864849840570447e-07,1.7268148325612859e-11,9.2973999999999997,9.0846,0,3971,SCI1,3
12,238.10806288239863,-0.004579010057570377,-8.2328520877404469e-07,5.7576229034842738e-11,8.7026000000000003,9.6897000000000002,0,3924,SCI2,3
13,256.8137325832019,-0.0048169073400965616,-6.4291943833693797e-07,2.6358365697283397e-11,8.0051000000000005,8.9948999999999995,0,3905,SCI3,3
14,272.95939734472358,-0.0046148713635128357,-7.2377016507605513e-07,3.2031991104538288e-11,6.2153999999999998,6.2153999999999998,0,4079,CAL,3
15,290.16313613210031,-0.0048332670166571423,-6.8238318249920628e-07,4.2435736531401135e-11,9.5982000000000003,9.5982000000000003,0,4006,SKY,4
16,310.05631037896399,-0.0050810443187366307,-5.055499136695558e-07,1.2985621627021074e-11,9.2782999999999998,9.0768000000000004,0,4054,SCI1,4
17,328.35298356361761,-0.0045055899114837894,-7.6096877056663476e-07,5.6993597869093548e-11,8.7165999999999997,9.6661999999999999,0,4009,SCI2,4
18,347.0200066975766,-0.0046745390665701523,-6.1774974270956887e-07,3.1176227082664891e-11,7.9962,9.0668000000000006,0,3978,SCI3,4
19,363.2738458911644,-0.0046481424084882815,-6.1205312028679553e-07,2.4797510856417248e-11,6.1825999999999999,6.1825999999999999,0,4079,CAL,4
20,381.77224732360787,-0.0049827395050275709,-4.3517420513375598e-07,6.5251042207757358e-12,9.7210999999999999,9.7210999999999999,0,4079,SKY,5
21,401.66504593500196,-0.0049506191503799913,-4.629459604051554e-07,1.4237666330622495e-11,9.2149999999999999,9.0847999999999995,0,4079,SCI1,5
22,420.03619439043894,-0.0045355926269070581,-6.2135724526194188e-07,4.1151610391671009e-11,8.7138000000000009,9.7064000000000004,0,4079,SCI2,5
23,438.72428233190277,-0.0046711600962180532,-5.2158093585017713e-07,2.5359735268563908e-11,7.9889000000000001,9.0700000000000003,0,4072,SCI3,5
24,454.91518131254537,-0.0045238295290673455,-5.7516200039857943e-07,2.7495616456572457e-11,6.1585000000000001,6.1585000000000001,0,4079,CAL,5
25,474.73804716959842,-0.0048955122616914076,-3.4749562603838131e-07,7.532227411143295e-13,9.7672000000000008,9.7672000000000008,0,4079,SKY,6
26,494.79737951436164,-0.0049111937548811024,-3.9348022506613895e-07,1.3823052887096349e-11,9.2279,9.0858000000000008,0,4079,SCI1,6
27,513.15076730803628,-0.0045396691025418167,-5.010417117353713e-07,2.9475285077783066e-11,8.6887000000000008,9.6887000000000008,0,4079,SCI2,6
28,531.74197724952819,-0.0043874051104412061,-5.8573929183852193e-07,4.5704416400737468e-11,8.0172000000000008,9.0882000000000005,0,4079,SCI3,6
29,548.01820609087906,-0.0044727550860003389,-5.0190453259788111e-07,2.5683175897072547e-11,6.1348000000000003,6.1348000000000003,0,4079,CAL,6
30,569.16755261596211,-0.0047138573551001629,-3.2855259921821392e-07,7.1123507488211862e-12,9.7867999999999995,9.7867999999999995,0,4079,SKY,7
31,589.33278766644753,-0.0047758345276131403,-3.7169037595688068e-07,2.0770974714191505e-11,9.2425999999999995,9.0808999999999997,0,4079,SCI1,7
32,607.63747366317284,-0.0043283907012565404,-5.1059351701523624e-07,3.9930919916883799e-11,8.6936,9.7425999999999995,0,4079,SCI2,7
33,626.29963943916789,-0.0043128573556880942,-5.2015475230152349e-07,4.4374167048971166e-11,7.9706000000000001,9.0808999999999997,0,4079,SCI3,7
34,642.60929445754459,-0.0044648667602879199,-4.0845721284929499e-07,2.128693391615872e-11,6.1471,6.1471,0,4079,CAL,7
35,665.13677598999141,-0.0045795629707326537,-2.8669567944378781e-07,1.0261176245471198e-11,9.8137000000000008,9.8137000000000008,0,4079,SKY,8
36,685.3602198695794,-0.0046218227455244029,-3.5623026009057985e-07,2.849561651581943e-11,9.2548999999999992,9.1127000000000002,0,4079,SCI1,8
37,703.73580891262679,-0.0043483389841880412,-3.9683270777698265e-07,3.1903424497602957e-11,8.6471,9.7548999999999992,0,4079,SCI2,8
38,722.35306326356078,-0.0041869091890335474,-4.9291877240625774e-07,5.0236918826208828e-11,7.9755000000000003,9.1103000000000005,0,4079,SCI3,8
39,738.6581900635515,-0.0043710342324134958,-3.6403715388464594e-07,2.5084860034473947e-11,6.1054000000000004,6.1054000000000004,0,4079,CAL,8
40,762.59998716616155,-0.0043602316560292171,-2.8615186072291385e-07,1.9148021121899207e-11,9.8505000000000003,9.8505000000000003,0,4079,SKY,9
41,782.99946843249847,-0.0046338650040839268,-2.5828656269294123e-07,2.4458756031865399e-11,9.2401999999999997,9.1151999999999997,0,4079,SCI1,9
42,801.27632397653565,-0.0041762084997376573,-3.8892311832476154e-07,4.0612715514175281e-11,8.6422000000000008,9.7646999999999995,0,4079,SCI2,9
43,819.93738807314651,-0.0040924714468450318,-4.4276508334538964e-07,5.2273267971426393e-11,7.9657,9.1519999999999992,0,4079,SCI3,9
44,836.23677155174789,-0.0042809725698720125,-3.1188436898564277e-07,2.7136371031590937e-11,6.0686,6.0686,0,4079,CAL,9
45,861.71947838502672,-0.0042644582894516177,-2.2475352907603014e-07,1.8742358538733584e-11,9.8332999999999995,9.8332999999999995,0,4079,SKY,10
46,882.11239925292375,-0.0044631845861870332,-2.5188914946624478e-07,3.3980410416214426e-11,9.2622999999999998,9.1077999999999992,0,4079,SCI1,10
47,900.40952032377299,-0.0040534531113259392,-3.4966864902225304e-07,4.3750948828879198e-11,8.6494999999999997,9.7425999999999995,0,4079,SCI2,10
48,919.05968964289275,-0.0039219319585445294,-4.3491604941073103e-07,6.1007095390349518e-11,7.9926000000000004,9.1005000000000003,0,4079,SCI3,10
49,935.41956217361383,-0.0043079432481413172,-1.8331885037311977e-07,1.5921316437605555e-11,6.1054000000000004,6.1054000000000004,0,4079,CAL,10
50,962.37732755222817,-0.0040305090759126371,-2.3965546650950639e-07,3.0297909955304986e-11,9.8872999999999998,9.8872999999999998,0,4079,SKY,11
51,982.84053391875273,-0.004321756875711861,-2.2408204571041441e-07,3.9347440928044865e-11,9.2132000000000005,9.1274999999999995,0,4079,SCI1,11
