,Coeff0,Coeff1,Coeff2,Coeff3,BottomEdge,TopEdge,X1,X2,Fiber,Order
0,28.960495759459793,-0.0023373984959325,-1.162895841721848e-06,3.3041503138997257e-11,10.374599999999999,10.408300000000001,0,4063,SKY,1
1,50.002747398890591,-0.0026773891916211001,-1.0053176656506735e-06,2.7013185412250778e-12,9.4387000000000008,9.6862999999999992,0,4079,SCI1,1
2,69.33494533506078,-0.0026846422147270002,-1.0174910298603978e-06,8.2816245925274735e-12,8.6789000000000005,10.367599999999999,0,4079,SCI2,1
3,88.947611683520066,-0.0028386096573456,-9.3020600594432133e-07,-4.9363595572248369e-12,8.1765000000000008,9.6029,0,4079,SCI3,1
4,105.36015234283416,-0.0026674179869842001,-1.0581032900723012e-06,2.0014946972957889e-11,5.8823999999999996,5.8823999999999996,0,4079,CAL,1
5,118.27050733132543,-0.0026616135327021998,-9.5912327144607051e-07,1.0305577689541882e-11,10.242599999999999,10.242599999999999,0,4079,SKY,2
6,138.93843174128995,-0.0028046656337589,-8.8293720401982132e-07,1.736240116885546e-12,9.4069000000000003,9.6862999999999992,0,4079,SCI1,2
7,158.23401836494514,-0.0027082788535431001,-9.3876750488701976e-07,1.0045284578663788e-11,8.6396999999999995,10.389699999999999,0,4079,SCI2,2
8,177.84549726666916,-0.0028952737303678,-8.6374631323959434e-07,2.7390833173676283e-12,8.1298999999999992,9.625,0,4079,SCI3,2
9,194.27423330179408,-0.0027615059708925999,-9.1301300432258121e-07,7.0596483995129199e-12,5.875,5.875,0,4079,CAL,2
10,208.74625259361289,-0.0025724793817241002,-9.0465785719361734e-07,1.331569871369737e-11,10.321099999999999,10.321099999999999,0,4079,SKY,3
11,229.54920078385857,-0.0027711909848022998,-8.4053619853171176e-07,8.4087850574619524e-12,9.3455999999999992,9.7843,0,4079,SCI1,3
12,248.79785280728785,-0.0026235240108758002,-9.03361287657396e-07,1.5999552945116386e-11,8.5417000000000005,10.495100000000001,0,4079,SCI2,3
13,268.27702537678465,-0.0025941962711128999,-9.2983675242271528e-07,2.2251877490691852e-11,8.0098000000000003,9.7425999999999995,0,4079,SCI3,3
14,284.92408898678934,-0.0027587565878831001,-8.3276751497458403e-07,4.6615876597888881e-12,5.8014999999999999,5.8014999999999999,0,4079,CAL,3
15,301.18218776990005,-0.0024750283063230002,-8.7406802149908903e-07,1.8264931590668792e-11,10.375,10.375,0,4079,SKY,4
16,321.83881120640916,-0.0024909276090390002,-8.8753289632145787e-07,2.3960706932763646e-11,9.2696000000000005,9.8407,0,4079,SCI1,4
17,341.20113557862146,-0.0025721037597072,-8.381145292249738e-07,1.5219964671910115e-11,8.4827999999999992,10.526999999999999,0,4079,SCI2,4
18,360.68409452779866,-0.0025680985323101001,-8.5449235906661687e-07,2.0213237628712287e-11,7.9583000000000004,9.8210999999999995,0,4079,SCI3,4
19,377.28508260931608,-0.0026321631447313999,-8.118510388752444e-07,1.1434130897691408e-11,5.7401999999999997,5.7401999999999997,0,4079,CAL,4
20,395.51309748390258,-0.0025599282970243001,-7.4598651901888306e-07,9.8143971148261444e-12,10.411799999999999,10.411799999999999,0,4079,SKY,5
21,416.12878396952146,-0.0024728595940901,-8.1659342823295876e-07,2.4341247257787448e-11,9.2377000000000002,9.8725000000000005,0,4079,SCI1,5
22,435.53816658651846,-0.0026671004717096999,-7.0762460735232369e-07,6.6125956142528505e-12,8.4436,10.5686,0,4079,SCI2,5
23,454.8368320860427,-0.0023451968127072998,-8.7428199597113434e-07,3.2116894526026464e-11,7.8921999999999999,9.8603000000000005,0,4079,SCI3,5
24,471.42765148843512,-0.0024089112962665999,-8.3270715862668358e-07,2.4065710501254364e-11,5.6985000000000001,5.6985000000000001,0,4079,CAL,5
25,491.67519162177086,-0.0024883992954512998,-6.9830111185448234e-07,1.3565737885097407e-11,10.428900000000001,10.428900000000001,0,4079,SKY,6
26,512.3831758117999,-0.0025819360849680998,-6.6876703935966007e-07,1.2023738343670964e-11,9.2255000000000003,9.8994999999999997,0,4079,SCI1,6
