keyword|datatype|description|unit
STDWGC16|float|stddev(WLS-ref) [pix], Green CAL order 16|pixels
STDWGC17|float|stddev(WLS-ref) [pix], Green CAL order 17|pixels
STDWGC18|float|stddev(WLS-ref) [pix], Green CAL order 18|pixels
STDWGC19|float|stddev(WLS-ref) [pix], Green CAL order 19|pixels
STDWGC20|float|stddev(WLS-ref) [pix], Green CAL order 20|pixels
STDWGC21|float|stddev(WLS-ref) [pix], Green CAL order 21|pixels
STDWGC22|float|stddev(WLS-ref) [pix], Green CAL order 22|pixels
STDWGC23|float|stddev(WLS-ref) [pix], Green CAL order 23|pixels
STDWGC24|float|stddev(WLS-ref) [pix], Green CAL order 24|pixels
STDWGC25|float|stddev(WLS-ref) [pix], Green CAL order 25|pixels
STDWGC26|float|stddev(WLS-ref) [pix], Green CAL order 26|pixels
STDWGC27|float|stddev(WLS-ref) [pix], Green CAL order 27|pixels
STDWGC28|float|stddev(WLS-ref) [pix], Green CAL order 28|pixels
STDWGC29|float|stddev(WLS-ref) [pix], Green CAL order 29|pixels
STDWGC30|float|stddev(WLS-ref) [pix], Green CAL order 30|pixels
STDWGC31|float|stddev(WLS-ref) [pix], Green CAL order 31|pixels
STDWGC32|float|stddev(WLS-ref) [pix], Green CAL order 32|pixels
STDWGC33|float|stddev(WLS-ref) [pix], Green CAL order 33|pixels
STDWGC34|float|stddev(WLS-ref) [pix], Green CAL order 34|pixels
