keyword|datatype|description|unit
RV310|float|RV for SCI3 order 10|km/s
RV311|float|RV for SCI3 order 11|km/s
RV312|float|RV for SCI3 order 12|km/s
RV313|float|RV for SCI3 order 13|km/s
RV314|float|RV for SCI3 order 14|km/s
RV315|float|RV for SCI3 order 15|km/s
RV316|float|RV for SCI3 order 16|km/s
RV317|float|RV for SCI3 order 17|km/s
RV318|float|RV for SCI3 order 18|km/s
RV319|float|RV for SCI3 order 19|km/s
RV320|float|RV for SCI3 order 20|km/s
RV321|float|RV for SCI3 order 21|km/s
RV322|float|RV for SCI3 order 22|km/s
RV323|float|RV for SCI3 order 23|km/s
RV324|float|RV for SCI3 order 24|km/s
RV325|float|RV for SCI3 order 25|km/s
RV326|float|RV for SCI3 order 26|km/s
RV327|float|RV for SCI3 order 27|km/s
RV328|float|RV for SCI3 order 28|km/s
RV329|float|RV for SCI3 order 29|km/s
RV330|float|RV for SCI3 order 30|km/s
RV331|float|RV for SCI3 order 31|km/s
RV332|float|RV for SCI3 order 32|km/s
RV333|float|RV for SCI3 order 33|km/s
RV334|float|RV for SCI3 order 34|km/s
RV335|float|RV for SCI3 order 35|km/s
RV336|float|RV for SCI3 order 36|km/s
RV337|float|RV for SCI3 order 37|km/s
RV338|float|RV for SCI3 order 38|km/s
RV339|float|RV for SCI3 order 39|km/s
RV340|float|RV for SCI3 order 40|km/s
RV341|float|RV for SCI3 order 41|km/s
RV342|float|RV for SCI3 order 42|km/s
RV343|float|RV for SCI3 order 43|km/s
RV344|float|RV for SCI3 order 44|km/s
RV345|float|RV for SCI3 order 45|km/s
RV346|float|RV for SCI3 order 46|km/s
RV347|float|RV for SCI3 order 47|km/s
RV348|float|RV for SCI3 order 48|km/s
RV349|float|RV for SCI3 order 49|km/s
RV350|float|RV for SCI3 order 50|km/s
RV351|float|RV for SCI3 order 51|km/s
RV352|float|RV for SCI3 order 52|km/s
RV353|float|RV for SCI3 order 53|km/s
RV354|float|RV for SCI3 order 54|km/s
RV355|float|RV for SCI3 order 55|km/s
RV356|float|RV for SCI3 order 56|km/s
RV357|float|RV for SCI3 order 57|km/s
RV358|float|RV for SCI3 order 58|km/s
RV359|float|RV for SCI3 order 59|km/s
RV360|float|RV for SCI3 order 60|km/s
RV361|float|RV for SCI3 order 61|km/s
RV362|float|RV for SCI3 order 62|km/s
RV363|float|RV for SCI3 order 63|km/s
RV364|float|RV for SCI3 order 64|km/s
RV365|float|RV for SCI3 order 65|km/s
RV366|float|RV for SCI3 order 66|km/s
RVS00|float|RV for SCI order 00|km/s
RVS01|float|RV for SCI order 01|km/s
RVS02|float|RV for SCI order 02|km/s
RVS03|float|RV for SCI order 03|km/s
RVS04|float|RV for SCI order 04|km/s
RVS05|float|RV for SCI order 05|km/s
RVS06|float|RV for SCI order 06|km/s
RVS07|float|RV for SCI order 07|km/s
RVS08|float|RV for SCI order 08|km/s
RVS09|float|RV for SCI order 09|km/s
RVS10|float|RV for SCI order 10|km/s
RVS11|float|RV for SCI order 11|km/s
RVS12|float|RV for SCI order 12|km/s
RVS13|float|RV for SCI order 13|km/s
RVS14|float|RV for SCI order 14|km/s
RVS15|float|RV for SCI order 15|km/s
RVS16|float|RV for SCI order 16|km/s
RVS17|float|RV for SCI order 17|km/s
RVS18|float|RV for SCI order 18|km/s
RVS19|float|RV for SCI order 19|km/s
RVS20|float|RV for SCI order 20|km/s
RVS21|float|RV for SCI order 21|km/s
RVS22|float|RV for SCI order 22|km/s
RVS23|float|RV for SCI order 23|km/s
RVS24|float|RV for SCI order 24|km/s
RVS25|float|RV for SCI order 25|km/s
RVS26|float|RV for SCI order 26|km/s
RVS27|float|RV for SCI order 27|km/s
RVS28|float|RV for SCI order 28|km/s
RVS29|float|RV for SCI order 29|km/s
RVS30|float|RV for SCI order 30|km/s
RVS31|float|RV for SCI order 31|km/s
RVS32|float|RV for SCI order 32|km/s
RVS33|float|RV for SCI order 33|km/s
RVS34|float|RV for SCI order 34|km/s
RVS35|float|RV for SCI order 35|km/s
RVS36|float|RV for SCI order 36|km/s
RVS37|float|RV for SCI order 37|km/s
RVS38|float|RV for SCI order 38|km/s
RVS39|float|RV for SCI order 39|km/s
RVS40|float|RV for SCI order 40|km/s
RVS41|float|RV for SCI order 41|km/s
RVS42|float|RV for SCI order 42|km/s
RVS43|float|RV for SCI order 43|km/s
RVS44|float|RV for SCI order 44|km/s
RVS45|float|RV for SCI order 45|km/s
RVS46|float|RV for SCI order 46|km/s
RVS47|float|RV for SCI order 47|km/s
RVS48|float|RV for SCI order 48|km/s
RVS49|float|RV for SCI order 49|km/s
RVS50|float|RV for SCI order 50|km/s
RVS51|float|RV for SCI order 51|km/s
RVS52|float|RV for SCI order 52|km/s
RVS53|float|RV for SCI order 53|km/s
RVS54|float|RV for SCI order 54|km/s
RVS55|float|RV for SCI order 55|km/s
RVS56|float|RV for SCI order 56|km/s
RVS57|float|RV for SCI order 57|km/s
RVS58|float|RV for SCI order 58|km/s
RVS59|float|RV for SCI order 59|km/s
RVS60|float|RV for SCI order 60|km/s
RVS61|float|RV for SCI order 61|km/s
RVS62|float|RV for SCI order 62|km/s
RVS63|float|RV for SCI order 63|km/s
