keyword|datatype|description|unit
DRPTAGL1|string|Git version number of KPF-Pipeline used to make L1|None
DRPHSHL1|string|Git commit hash version of KPF-Pipeline used to make L1|None
MONOTWLS|bool|QC: L1 wavelength solution is monotonic|None
DATAPRL1|bool|QC: L1 red and green data present|None
CAHKPRL1|bool|QC: CaHK data present in L1 with expected shape|None
WLSL1|bool|QC: L1 WLS file check passed|None
LFCSAT|bool|QC: L1 LFC spectrum not saturated|None
OLDWLS|bool|QC: WLSFILE within 2 days of this obs|None
OLDWLS2|bool|QC: WLSFILE2 within 2 days of this obs|None
OLDTRAC|bool|QC: Trace file within 5 days of this obs|None
OLDLAMP|bool|QC: Smooth lamp file within 5 days of this obs|None
FLATSNR|bool|QC: SNR of flat >min and <max|None
LFCLINES|bool|QC: Num and dist of LFC lines ok (orders 2-34,1-31)|None
LFCLINEP|bool|QC: Num and dist of LFC lines ok (orders 15-34,1-31)|None
ETALINES|bool|QC: Num and dist of Etalon lines ok|None
WILDWSCI|bool|QC: SCI WLS not wild (stdev < 5 pix)|None
WILDWSKY|bool|QC: SKY WLS not wild (stdev < 5 pix)|None
WILDWCAL|bool|QC: CAL WLS not wild (stdev < 5 pix)|None
NANL1OK|bool|QC: NaNs in L1 (all orders, both chips) < 50|None
WLSFILE|string|first wavelength interpolation reference|None
WLSFILE2|string|second wavelength interpolation reference|None
STATWREF|string|filename of ref for median/stddev(WLS-ref)|None
AGEWLS|float|WLSFILE approx age|days
AGEWLS2|float|WLSFILE2 approx age|days
AGETRAC|float|Trace file approx age|days
AGELAMP|float|Smooth lamp file approx age|days
NANL1GS1|int|Number of NaNs in all orders of L1 Green SCI1|None
NANL1GS2|int|Number of NaNs in all orders of L1 Green SCI2|None
NANL1GS3|int|Number of NaNs in all orders of L1 Green SCI3|None
NANL1GCL|int|Number of NaNs in all orders of L1 Green CAL|None
NANL1GSK|int|Number of NaNs in all orders of L1 Green SKY|None
NANL1RS1|int|Number of NaNs in all orders of L1 Red SCI1|None
NANL1RS2|int|Number of NaNs in all orders of L1 Red SCI2|None
NANL1RS3|int|Number of NaNs in all orders of L1 Red SCI3|None
NANL1RCL|int|Number of NaNs in all orders of L1 Red CAL|None
NANL1RSK|int|Number of NaNs in all orders of L1 Red SKY|None
