keyword|datatype|description|unit
STDWRC22|float|stddev(WLS-ref) [pix], Red CAL order 22|pixels
STDWRC23|float|stddev(WLS-ref) [pix], Red CAL order 23|pixels
STDWRC24|float|stddev(WLS-ref) [pix], Red CAL order 24|pixels
STDWRC25|float|stddev(WLS-ref) [pix], Red CAL order 25|pixels
STDWRC26|float|stddev(WLS-ref) [pix], Red CAL order 26|pixels
STDWRC27|float|stddev(WLS-ref) [pix], Red CAL order 27|pixels
STDWRC28|float|stddev(WLS-ref) [pix], Red CAL order 28|pixels
STDWRC29|float|stddev(WLS-ref) [pix], Red CAL order 29|pixels
STDWRC30|float|stddev(WLS-ref) [pix], Red CAL order 30|pixels
STDWRC31|float|stddev(WLS-ref) [pix], Red CAL order 31|pixels
