Ext,HDU,Keyword,Description,Units,Data Type,Value,Range,Source,Keep,comment
CA_HK,13,HKSHUTT,HK shutter position,N/A,Bool,T/F,T/F,steve_gibson,y,
CA_HK,13,HKTSTART,avg exposure start time,UTC,DateTime,ex:'2020-12-20T01:41:48.123',>=0,steve_gibson,y,
CA_HK,13,HKTEND,avg exposure end time,UTC,DateTime,ex:'2020-12-20T01:41:48.123',>=0,steve_gibson,y,
CA_HK,13,HKECHTMP,avg echelle temperature,Degrees C,float,1,,steve_gibson,y,
CA_HK,13,HKDETTMP,avg detector temperature,Degrees C,float,1,,steve_gibson,y,
CA_HK,13,HKCAMTMP,avg camera barrel temp,Degrees C,float,1,,steve_gibson,y,
CA_HK,13,HKBNCTMP,avg bench temp,Degrees C,float,1,,steve_gibson,y,
CA_HK,13,HKENCTMP,avg enclosure temp,Degrees C,float,1,,steve_gibson,y,
CA_HK,13,HKRCKTMP,avg Rack temp,Degrees C,float,1,,steve_gibson,y,
CA_HK,13,HKCCDTMP,CCD temperature,Degrees C,float,1,,steve_gibson,y,
CA_HK,13,HKEXPTIM,HK exposure time,seconds,float,1,,steve_gibson,y,
CA_HK,13,HKFRMC1,CCD (sub)frame left bound of column,pixel number,int,1,"[0, 1024]",ashley,y,
CA_HK,13,HKFRMC2,CCD (sub)frame right bound of column,pixel numbr,int,1,"[0,1024]",ashley,y,
CA_HK,13,HKFRMR1,CCD (sub)frame bottomw bound of row,pixel number,int,1,"[0,255]",ashley,y,
CA_HK,13,HKFRMR2,CCD (sub)frame top bound of row,pixel number,int,1,"[0,255]",ashley,y,
