,Coeff0,Coeff1,Coeff2,Coeff3,BottomEdge,TopEdge,X1,X2
0,-0.2628397801909426,0.005226565876110638,1.5661431995534793e-06,-2.8539875823082024e-10,6.638,6.1499,100,4079
1,15.0973244234729,0.009885921358880913,-3.96197913595942e-07,-3.784944393954837e-11,8.8501,9.5355,0,4079
2,34.04538893418942,0.010020532467232428,-5.161128813845733e-07,-2.01544730820485e-11,8.4645,8.8985,0,4079
3,49.20286205328118,0.009947627880786757,-4.335106348455518e-07,-3.3166783372124735e-11,4.3708,4.3044,0,4079
4,64.75407690938395,0.009427875928821687,-3.247755337056048e-07,-3.791491767067158e-11,9.6669,9.3428,0,4079
5,85.0310246961004,0.009510373161259888,-3.8297857439051683e-07,-2.914271841466081e-11,7.3046,7.2747,0,4079
6,103.87041971554095,0.009441405713499192,-4.107246692621013e-07,-2.636754674860158e-11,9.519,9.5169,0,4079
7,122.90481715253699,0.009399658650955276,-4.3166569706775703e-07,-2.4716370404419663e-11,8.4831,8.7392,0,4079
8,138.03330748057337,0.009412274998663626,-4.029814686959495e-07,-2.7017947262431704e-11,4.38,4.2608,0,4079
9,154.85717874389542,0.00898023028513081,-3.251273654331849e-07,-3.081918950255961e-11,9.5502,9.4643,0,4079
10,175.08813067841174,0.00918019339908788,-4.4539751549397637e-07,-1.1564172118866191e-11,7.1916,7.3286,0,4079
11,194.0365910450675,0.008878420170099563,-3.506146004102469e-07,-2.747618683743528e-11,9.3945,9.4192,0,4079
12,213.0194372204761,0.008914301115461574,-4.0481624811303664e-07,-2.0451629220821856e-11,8.5808,8.6835,0,4079
13,228.23296033498244,0.008810854678808407,-3.2912360762105343e-07,-2.794183423291222e-11,4.2832,4.2368,0,4079
14,246.36057252447307,0.00850613886851846,-3.090265556522356e-07,-2.6134555800211717e-11,9.3058,9.2655,0,4079
15,266.7624334522009,0.008404531682230666,-2.782417551300767e-07,-2.8149508517651076e-11,7.1007,7.2577,0,4079
16,285.60520054311286,0.008331568677635447,-3.1136103396138466e-07,-2.4018119337080162e-11,9.5833,9.4387,0,4079
17,304.6427180634701,0.008239070513168429,-2.9819185917811887e-07,-2.6433046532396846e-11,8.5613,8.7087,0,4079
18,319.82171742945735,0.008187722867755775,-2.468747530022614e-07,-2.978387107715974e-11,4.3255,4.2119,0,4079
19,339.3793821996652,0.007861356660865787,-2.19143836751499e-07,-3.077955737395859e-11,9.6122,9.5214,0,4079
20,359.6805828194307,0.007962523128613687,-2.8929482189777513e-07,-1.6754953033104744e-11,7.3157,7.1578,0,4079
21,378.5621603384179,0.007724423141639056,-2.215797682254516e-07,-2.886254704434435e-11,9.5951,9.5007,0,4079
22,397.53696386431994,0.007785734690063277,-2.8915077271590654e-07,-1.9384642280554205e-11,8.4993,8.7449,0,4079
23,412.8014137424632,0.007618929861124471,-1.860862169019647e-07,-2.9699833894080414e-11,4.2562,4.2075,0,4079
24,433.77360750778377,0.00730303549260964,-1.6038909007125729e-07,-3.1698774805222716e-11,9.5574,9.5374,0,4079
25,454.18234353099984,0.00721271795073506,-1.360992544790655e-07,-3.044671683994506e-11,7.0885,7.0843,0,4079
26,472.9562106205175,0.007190915171864444,-1.7665355925672616e-07,-2.737936182465738e-11,9.3907,9.5589,0,4079
27,492.0172386052668,0.0070757001034909206,-1.5733138764354903e-07,-2.974434638118332e-11,8.4411,8.7502,0,4079
28,507.1946123927448,0.007089221530256258,-1.512535724427421e-07,-2.488512821974259e-11,4.2281,4.2539,0,4079
29,529.6446683901315,0.006781732745014889,-1.312095549587167e-07,-2.7446223580160222e-11,9.4739,9.4632,0,4079
30,550.0381912869975,0.006686978844976968,-1.0303079510492163e-07,-2.5902617700790447e-11,7.0548,7.2037,0,4079
31,568.8225515426732,0.006671364866822345,-1.4986885618606943e-07,-2.1497208041958783e-11,9.4675,9.5298,0,4079
32,587.924479392142,0.0064241787385040045,-4.996300449698094e-08,-3.71121610275367e-11,8.4702,8.6745,0,4079
33,603.1148024574567,0.006411502084216221,-3.260173544223408e-08,-3.364826501057481e-11,4.2091,4.2994,0,4079
34,627.0725106277548,0.00614288410422607,-4.3265580860573064e-08,-3.138499553795556e-11,9.3201,9.6716,0,4079
35,647.4464307154433,0.006099099730370484,-3.947583032110492e-08,-2.6210547940063257e-11,7.0568,7.1662,0,4079
36,666.2747555156105,0.005975601314341911,-2.820613630768889e-08,-3.0414080272012714e-11,9.4011,9.4493,0,4079
37,685.315877500796,0.005856250056093893,2.5638766381576475e-09,-3.542247852238591e-11,8.5507,8.6149,0,4079
38,700.5108474411433,0.0058518249353012195,1.0546358316479055e-08,-2.9895925750466094e-11,4.2654,4.1587,0,4079
39,726.0070449405746,0.005577861633438893,5.785019311950819e-09,-2.9607080546418765e-11,9.469,9.5214,0,4079
40,746.4099364394459,0.005500654222924371,1.349524100389943e-08,-2.3248189175571184e-11,7.0125,7.123,0,4079
41,765.1935267965035,0.005416222027226575,2.1340057736657996e-08,-2.849060876971744e-11,9.4574,9.5697,0,4079
42,784.268869990582,0.005261298498722663,6.191282832002746e-08,-3.388929925058835e-11,8.4303,8.822,0,4079
43,799.4599661615322,0.005260580187139097,6.15415798073772e-08,-2.6068143345277638e-11,4.2544,4.1105,0,4079
44,826.5202874739064,0.00497927647893385,7.59068484063799e-08,-3.11598218876678e-11,9.354,9.5256,0,4079
45,846.9467094918905,0.004825164509246124,1.262960162109959e-07,-3.115998076916192e-11,7.1369,6.9786,0,4079
46,865.7091566833506,0.004825879440014486,8.185611692695585e-08,-2.7423564623893002e-11,9.3211,9.3863,0,4079
47,884.7736220429227,0.0046578560047028416,1.3380904786842422e-07,-3.4855625024544754e-11,8.6137,8.6677,0,4079
48,899.9578258164534,0.004683163217153162,1.2344807533133045e-07,-2.6739498101388695e-11,4.1604,4.1636,0,4079
49,928.6689687811216,0.004361414596046527,1.4340668697579898e-07,-3.1123436278932e-11,9.1893,9.3073,0,4079
50,949.0769103971164,0.0041897441066406195,2.0284550846267772e-07,-3.1544614911474385e-11,6.9319,7.0738,0,4079
51,967.8817634997481,0.004117315619916398,2.131106989081206e-07,-3.9147043401337197e-11,9.3786,9.5336,0,4079
52,986.8935395580421,0.004093234829789459,1.775406133242696e-07,-3.1452286239846667e-11,8.4664,8.7317,0,4079
53,1002.0956800663201,0.004092623590057969,1.6863744715367156e-07,-2.18736624536718e-11,4.2574,4.0223,0,4079
54,1032.4793871624204,0.0037103174054175293,2.3245481343116381e-07,-3.4989314063816446e-11,9.415,9.4906,0,4079
55,1052.8834692330065,0.0035494626738075204,2.8864785868572187e-07,-3.5615220789747306e-11,6.8685,7.1322,0,4079
56,1071.6382439484066,0.003594469803661065,2.2512626306577846e-07,-2.986240456596674e-11,9.4137,9.4927,0,4079
57,1090.7251957191643,0.003391148790259854,2.978130368915403e-07,-4.0372702512702726e-11,8.5073,8.6348,0,4079
58,1105.9116328679042,0.0034050212856146763,2.84837387016985e-07,-3.0957566538595216e-11,4.1419,4.086,0,4079
59,1137.9939858878574,0.0030484889988066145,3.2100678611943406e-07,-3.8154596859323736e-11,9.3008,9.5253,0,4079
60,1158.3595004173542,0.0029475504907574344,3.484223607749329e-07,-3.489082204868214e-11,6.8945,7.0729,0,4079
61,1177.1878278192019,0.0028703292341610066,3.426559143724282e-07,-3.691019540008743e-11,9.435,9.4852,0,4079
62,1196.1859567456286,0.0028404214261959354,3.324536163931106e-07,-3.6078685574874115e-11,8.5148,8.6674,0,4079
63,1211.4563140262446,0.002715894026884872,3.7996616513767255e-07,-3.444530249024119e-11,4.1365,4.0726,0,4079
64,1245.2598032434987,0.002353837468087116,4.1995894134584936e-07,-4.214495982164473e-11,9.3258,9.5586,0,4079
65,1265.6368909628627,0.0022256809286546483,4.5517806447530544e-07,-3.936312367854557e-11,6.9339,7.0961,0,4079
66,1284.380359688905,0.0023344147800531873,3.576795161658972e-07,-2.8263701288541786e-11,9.3598,9.5144,0,4079
67,1303.4545603771155,0.0021959880017502027,3.9322850287589353e-07,-3.323004096424177e-11,8.4856,8.6274,0,4079
68,1318.6861439304932,0.0021148086850909472,4.2573004768072623e-07,-3.039421206331616e-11,4.1565,4.0175,0,4079
69,1354.2611383167016,0.0017567183010365253,4.5994759394142047e-07,-3.648050061255639e-11,9.3493,9.5403,0,4079
70,1374.601384294543,0.0016631844138774278,4.868296544065929e-07,-3.369351369721059e-11,6.8869,7.0592,0,4079
71,1393.4283245261265,0.0015895866941886853,5.055923099922261e-07,-4.307889620201293e-11,9.3299,9.4989,0,4079
72,1412.4704429392775,0.0015557278598683647,4.626135425524961e-07,-3.2636937683307084e-11,8.5011,8.5422,0,4079
73,1427.7077017662725,0.001507474163407819,4.6786269815663783e-07,-2.5208617685040726e-11,4.1417,3.9972,0,4079
74,1465.2318879342479,0.0008348568608559639,6.797427955533886e-07,-5.956461813035673e-11,9.2863,9.5742,0,4079
75,1485.445403487316,0.0010045295761677018,5.590627001747186e-07,-3.363361119976958e-11,6.8904,7.1064,0,4079
76,1504.3322579238816,0.00087030019155265,5.944660700615425e-07,-4.321717972783835e-11,9.3894,9.525,0,4079
77,1523.3203452712823,0.0009276958282473253,5.202953014016014e-07,-3.043338685272761e-11,8.475,8.6611,0,4079
78,1538.5640115798121,0.0008295021262015959,5.561049841007844e-07,-2.8222808646628258e-11,4.134,4.0312,0,4079
79,1577.6957369582856,0.0007074172059464264,4.7094632856435157e-07,-1.7186353667694057e-11,9.2845,9.5218,0,4079
80,1598.0916628889481,0.00044690481846007145,5.9160886973892e-07,-2.939274065145569e-11,6.8565,7.0635,0,4079
81,1617.050241513337,0.0002567917040461769,6.324291405097506e-07,-3.695910245760918e-11,9.3168,9.3855,0,4079
82,1636.0324016431027,0.00022606544819429175,6.333072184546581e-07,-3.828752893073237e-11,8.6059,8.6713,0,4079
83,1651.2149676918757,0.00035695791316032105,5.254872849406253e-07,-1.24829161105566e-11,4.0951,3.9943,0,4079
84,1692.5122690223184,-0.0004057912830881005,7.872187839656343e-07,-5.3431503576477774e-11,9.3312,9.4902,0,4079
85,1712.8816602101413,-0.0004574870219492455,7.715624943014994e-07,-4.371688412571507e-11,6.935,6.9909,0,4079
86,1731.560576939286,-0.0003221611327096608,7.047238911490623e-07,-4.0879404703148754e-11,9.4876,9.3932,0,4079
87,1750.6895576792149,-0.00039384149258789796,6.691630005029595e-07,-3.170211884484806e-11,8.6068,8.4927,0,4079
88,1766.0963275502254,-0.0007180024027140173,7.91020046818567e-07,-3.926538273735118e-11,4.1128,3.9847,0,4079
89,1808.7971692875647,-0.0006975666829287948,7.224201316248517e-07,-3.7384504930912454e-11,9.3834,9.4283,0,4079
90,1829.328219852507,-0.0009678792097384259,7.902483082429559e-07,-3.751086636840496e-11,6.8154,7.1077,0,4079
91,1848.281452728103,-0.001072413191268467,7.968032213154975e-07,-4.2352038420373835e-11,9.3992,9.5276,0,4079
92,1867.314751850683,-0.001053922653334341,7.269038694700352e-07,-2.8228511567616418e-11,8.4724,8.648,0,4079
93,1882.5204646916998,-0.00129361113481438,8.762076426336869e-07,-4.5836649083247965e-11,4.0453,4.0525,0,4079
94,1927.809776748706,-0.0018240595836318328,9.598135634617768e-07,-5.6215711118561316e-11,9.3053,9.525,0,4079
