,Coeff0,Coeff1,Coeff2,Coeff3,BottomEdge,TopEdge,X1,X2
0,7.765188556616077,-0.009339734892221023,5.143233329509297e-06,-6.201825857784798e-10,9.1564,8.7157,1424,4079
1,7.037877697295072,0.010390225088442296,-8.102428401014368e-07,-2.3774687731057046e-11,7.0944,7.3628,0,4079
2,26.468660020739527,0.010418020643734805,-8.603210629501315e-07,-1.4351459718595457e-11,9.7156,10.0827,0,4079
3,46.12529302099855,0.01041199124475949,-8.536345339469453e-07,-1.6268641464366403e-11,8.9173,9.0148,0,4079
4,61.67290467849404,0.010360698517037721,-8.127771006518562e-07,-2.2759105063823406e-11,3.8834,3.7144,0,4079
5,76.14649953204558,0.010008305641456538,-8.028782764286433e-07,-2.1609697236272325e-11,9.2856,9.8963,0,4079
6,97.11695738566264,0.010056731239498457,-8.652779615079753e-07,-7.96263874459781e-12,7.1722,7.3662,0,4079
7,116.50630244905845,0.010003650613337316,-8.527106370429516e-07,-7.993754007394195e-12,9.6966,10.1087,0,4079
8,136.1618876702537,0.009950156769024263,-8.240643683423626e-07,-1.2062752919629199e-11,8.8913,9.0573,0,4079
9,151.8285847593339,0.009879750295136441,-8.043259549771955e-07,-1.4267195069694903e-11,3.9747,4.2456,0,4079
10,168.0748459756111,0.009389231694266077,-6.965445369348945e-07,-2.8497099940185466e-11,9.6394,10.0556,0,4079
11,189.00703084037798,0.009390049682257403,-6.917696596994766e-07,-2.8166520573089287e-11,7.1494,7.3861,0,4079
12,208.42774841937268,0.009296927707714706,-6.686177581917009e-07,-3.066781947550069e-11,9.6887,10.1157,0,4079
13,228.04352705845255,0.009337407904032978,-6.804927747780222e-07,-2.8927130591642418e-11,8.8843,9.057,0,4079
14,243.7559622538772,0.009179560586087135,-6.086954749328853e-07,-3.92900126660188e-11,4.1034,4.1717,0,4079
15,261.79614998846904,0.008918841832711995,-7.11680885732252e-07,-1.3283139451332054e-11,9.6774,9.8848,0,4079
16,282.7599786013826,0.008786444506646321,-6.025532060896597e-07,-3.261048537183434e-11,7.2245,7.2973,0,4079
17,302.1329606149963,0.008789793123692562,-6.663523116231971e-07,-1.728089109704301e-11,9.5661,10.1406,0,4079
18,321.75201643365824,0.008736033288556586,-5.943235221156912e-07,-3.21219654632644e-11,8.8594,8.9937,0,4079
19,337.4082486486525,0.008793151032527336,-6.70385169345279e-07,-1.571296540004712e-11,4.1689,4.1011,0,4079
20,357.3918624627807,0.008339168490251422,-6.617604482542826e-07,-9.54218403999326e-12,9.6505,9.8468,0,4079
21,378.33293611938325,0.008252193116336688,-5.736656821799885e-07,-2.559447525435406e-11,7.2594,7.2037,0,4079
22,397.6956660958637,0.008218858722297483,-6.081430951262832e-07,-1.64925455475335e-11,9.575,10.0971,0,4079
23,417.29362916185215,0.008213973963746833,-5.65945150488846e-07,-2.6321286497072303e-11,8.9029,8.9358,0,4079
24,432.9513866124668,0.008230318793457644,-6.062043310351091e-07,-1.6253324435288703e-11,4.089,4.1359,0,4079
25,454.941146170464,0.007693130148836359,-5.879067408911125e-07,-8.107297248079891e-12,9.5584,9.8915,0,4079
26,475.81336319612177,0.007789366294965237,-6.101981184302419e-07,-5.614276823566412e-12,7.2172,7.2376,0,4079
27,495.19933895665173,0.007614819135460211,-5.487845362620838e-07,-1.388550430185746e-11,9.6264,9.9366,0,4079
28,514.7299423180393,0.007760730761922271,-5.963811257230306e-07,-8.821248932654007e-12,8.9711,8.9,0,4079
29,530.4701903982289,0.007587649107808269,-5.271461097426426e-07,-1.6971387964303658e-11,4.1665,4.0374,0,4079
30,554.4177271989736,0.0071213837993498105,-5.413680447749085e-07,-4.4173557899455345e-12,9.5616,9.6951,0,4079
31,575.3247487554967,0.007187694270872009,-5.61252924890801e-07,-8.639256072369154e-13,7.2855,7.1454,0,4079
32,594.6582626835833,0.0070505290860115545,-5.14881034345465e-07,-7.355466978509133e-12,9.5269,10.1036,0,4079
33,614.1882462423147,0.0072175619677933055,-5.840586226057229e-07,2.1461343749670993e-12,8.8964,8.9234,0,4079
34,629.8603567743169,0.007134325126658928,-5.440538128226037e-07,-3.316385983171998e-12,4.14,4.0347,0,4079
35,656.0054293664211,0.006431098695374036,-4.4071601167276256e-07,-8.945614085159386e-12,9.3992,9.862,0,4079
36,676.8701352292118,0.006522590030519071,-4.62347653480907e-07,-6.411114067672848e-12,7.2232,7.2058,0,4079
37,696.2097493417812,0.006392132354043043,-4.351741368572069e-07,-7.373476903032215e-12,9.4707,10.102,0,4079
38,715.7338535857335,0.006539737774575599,-4.941708653247121e-07,4.781866303959442e-13,8.898,8.8204,0,4079
39,731.425723401679,0.006390635233467,-4.10211637225329e-07,-1.3289546627456278e-11,4.1575,4.0136,0,4079
40,759.6241056263912,0.005868782161488072,-4.1516230318633127e-07,-5.123907972592841e-13,9.5113,9.904,0,4079
41,780.5468829883873,0.00583164311602531,-3.663424078867214e-07,-9.655112155983645e-12,7.1872,7.2304,0,4079
42,799.8219469360315,0.005777001008792666,-3.709414865488873e-07,-6.4168623005163395e-12,9.5081,10.1218,0,4079
43,819.3614321496176,0.005858917461728662,-3.855251291585037e-07,-7.055978317369634e-12,8.8782,8.8843,0,4079
44,834.9848865191527,0.005882928745871055,-4.106682433364983e-07,-1.726528174295885e-12,4.1423,4.0162,0,4079
45,865.4845252498754,0.005169271653077347,-3.14831710006453e-07,-4.546355522129785e-12,9.5507,9.8592,0,4079
46,886.3341984986397,0.005338610223555303,-4.084964108501235e-07,1.2364716833617247e-11,7.1967,7.2086,0,4079
47,905.6347622666829,0.005141961644110836,-2.9520584816619626e-07,-8.435881451002158e-12,9.5867,10.0903,0,4079
48,925.1386738358398,0.005329411261605533,-3.89119321813988e-07,5.853399587975059e-12,8.9097,8.8998,0,4079
49,940.812302158198,0.005192203884113535,-3.191858832793477e-07,-3.773241107450214e-12,4.1723,3.993,0,4079
50,973.5814415982613,0.004499123068434345,-2.4197781515348e-07,-3.0679986346624335e-12,9.5221,9.8771,0,4079
