Keyword,Description,Extension,DataType,PopulatedBy
INHUM,relative humidity inside dome [%],PRIMARY,float,KPF0.to_kpf1
INHUMT,INHUM timestamp [UTC],PRIMARY,string,KPF0.to_kpf1
DRPHASH,Git commit hash,PRIMARY,string,KPF1.__init__
EXSNR#,Extracted signal-to-noise at EXSNRW1 to EXSNRW# [SNR/1-D pixel],PRIMARY,float,DiagL2
EXSNRW#,Wavelength at which EXTSNR1 to EXTSNR# is measured [Angstroms],PRIMARY,float,DiagL2
# ================================================
# Non-primary extension keywords
# ================================================
VELSTART,Velocity Grid Start [km/s],CCF*,float,CrossCorrelation
VELSTEP,Velocity Grid Step Size [km/s],CCF*,float,CrossCorrelation
VELNSTEP,Number of Steps in Velocity Grid,CCF*,uint,CrossCorrelation
CCFMASK,Mask used to generate CCF,CCF*,string,CrossCorrelation
RVMETHOD,RV Derivation method,RV*,string,RadialVelocity
SKYRMVD,Sky model removed?,RV*,boolean,RadialVelocity
TELLRMVD,Telluric model removed?,RV*,boolean,RadialVelocity
