HDU,Name,DataType,Required,Description
0,PRIMARY,PrimaryHDU,True,Calibration metadata header
1,GREEN_IMG,ImageHDU,True,Stacked green CCD mean image (count rate)
2,GREEN_SNR,ImageHDU,True,Green CCD signal-to-noise ratio
3,GREEN_MASK,ImageHDU,True,Green CCD bad pixel mask (1=good 0=bad)
4,RED_IMG,ImageHDU,True,Stacked red CCD mean image (count rate)
5,RED_SNR,ImageHDU,True,Red CCD signal-to-noise ratio
6,RED_MASK,ImageHDU,True,Red CCD bad pixel mask (1=good 0=bad)
7,RECEIPT,BinTableHDU,True,Accumulated processing history
8,CONFIG,BinTableHDU,False,Configuration parameters
