Keyword,Description,Units,DataType,ExampleValue,PopulatedBy
OUTTMPT,OUTTMP timestamp,UTC,String,2024-04-05T11:08:33,
OUTHUM,Outside relative humidity,%,Float,18.2,
OUTHUMT,OUTHUM timestamp,UTC,String,2024-04-05T11:08:33,
OUTPRES,Outdoor atmospheric pressure,kPa,Float,61.6,
OUTPREST,OUTPRES timestamp,UTC,String,2024-04-05T11:08:33,
ENVWINDS,Wind speed,m/s,Float,6.2,
ENVWINDD,Wind direction,angle,Float,133.5,
M1TMP,Primary mirror temperature,deg C,Float,2.1,
M1TMPT,M1TMP timestamp,UTC,String,2024-04-05T11:08:33,

SUMMFLAG,Summary roll-up of the other flag keywords,N/A,String,Pass,
TELFLAG,Issues with observatory or telescope?,N/A,String,Pass,
INSTFLAG,Issues with instrument?,N/A,String,Pass,
DRPFLAG,Issues with pipeline?,N/A,String,Pass,
ADDFLAG,Additional team-defined flag,N/A,String,Pass,
OBSFLAG,Observer pass/fail for exposure,N/A,String,Pass,
FULLCOMP,Is this file fully EPRV-standard compliant?,N/A,String,Yes,
DQLVL0,L0 quality-check bitfield,N/A,UInt,0,
