keyword,populated_by,comment
PROGID,Provenance,WMKO program ID (DRP-RUN-19)
KOAID,Provenance,KOA archive ID (DRP-RUN-19)
CCD1RV,RadialVelocity,GREEN SCI-combined RV [km/s] (legacy)
CCD2RV,RadialVelocity,RED SCI-combined RV [km/s] (legacy)
CCD1ERV,RadialVelocity,GREEN SCI-combined RV error [km/s] (legacy)
CCD2ERV,RadialVelocity,RED SCI-combined RV error [km/s] (legacy)
CCD1RV1,RadialVelocity,GREEN SCI1 RV [km/s] (legacy)
CCD1RV2,RadialVelocity,GREEN SCI2 RV [km/s] (legacy)
CCD1RV3,RadialVelocity,GREEN SCI3 RV [km/s] (legacy)
CCD1RVC,RadialVelocity,GREEN CAL RV [km/s] (legacy)
CCD1RVS,RadialVelocity,GREEN SKY RV [km/s] (legacy)
CCD2RV1,RadialVelocity,RED SCI1 RV [km/s] (legacy)
CCD2RV2,RadialVelocity,RED SCI2 RV [km/s] (legacy)
CCD2RV3,RadialVelocity,RED SCI3 RV [km/s] (legacy)
CCD2RVC,RadialVelocity,RED CAL RV [km/s] (legacy)
CCD2RVS,RadialVelocity,RED SKY RV [km/s] (legacy)
CCD1ERV1,RadialVelocity,GREEN SCI1 RV error [km/s] (legacy)
CCD1ERV2,RadialVelocity,GREEN SCI2 RV error [km/s] (legacy)
CCD1ERV3,RadialVelocity,GREEN SCI3 RV error [km/s] (legacy)
CCD1ERVC,RadialVelocity,GREEN CAL RV error [km/s] (legacy)
CCD1ERVS,RadialVelocity,GREEN SKY RV error [km/s] (legacy)
CCD2ERV1,RadialVelocity,RED SCI1 RV error [km/s] (legacy)
CCD2ERV2,RadialVelocity,RED SCI2 RV error [km/s] (legacy)
CCD2ERV3,RadialVelocity,RED SCI3 RV error [km/s] (legacy)
CCD2ERVC,RadialVelocity,RED CAL RV error [km/s] (legacy)
CCD2ERVS,RadialVelocity,RED SKY RV error [km/s] (legacy)
CCFRV,RadialVelocity,Cross-CCD combined science RV [km/s] (legacy)
CCFERV,RadialVelocity,Cross-CCD combined RV error [km/s] (legacy)
