STANDARD,EXTENSION,INSTRUMENT,INST_EXT,DEFAULT,
INSTRUME,PRIMARY,INSTRUME,PRIMARY,,
ORGANIZA,PRIMARY,,,CC-0,
ORIGIN,PRIMARY,,,Keck,
DATALVL,PRIMARY,,,L2,
OBSERVER,PRIMARY,GROBSERV,PRIMARY,,
PROGRAM,PRIMARY,GRPROGNA,PRIMARY,,
PINAME,PRIMARY,,,,
ISSOLAR,PRIMARY,,,F,
OBSTYPE,PRIMARY,IMTYPE,PRIMARY,,
OBSMODE,PRIMARY,,,,
OBSLON,PRIMARY,OBSLON,PRIMARY,-155.474719,
OBSLAT,PRIMARY,OBSLAT,PRIMARY,19.826,
OBSALT,PRIMARY,OBSLAT,PRIMARY,4145.0,
GEOSYS,PRIMARY,,,GRS80,
READMODE,PRIMARY,READSPED,PRIMARY,,
BINNING,PRIMARY,,,1x1,
NUMTRACE,PRIMARY,,,5,
NUMORDER,PRIMARY,,,65,
NUMTEL,PRIMARY,,,1,
TELEID1,PRIMARY,,,K1,
OBJECT,PRIMARY,OBJECT,PRIMARY,,
ALIASES,PRIMARY,TARGNAME,PRIMARY,,
FILENAME,PRIMARY,,,,
DATE,PRIMARY,DATE,PRIMARY,,
DATE-OBS,PRIMARY,DATE-OBS,PRIMARY,,
JD_UTC,PRIMARY,MJD-OBS,PRIMARY,,
EXPTIME,PRIMARY,ELAPSED,PRIMARY,,
TRACE1,PRIMARY,CAL-OBJ,PRIMARY,,
TRACE2,PRIMARY,SCI-OBJ,PRIMARY,,
TRACE3,PRIMARY,SCI-OBJ,PRIMARY,,
TRACE4,PRIMARY,SCI-OBJ,PRIMARY,,
TRACE5,PRIMARY,SKY-OBJ,PRIMARY,,
CLSRC1,PRIMARY,CAL-OBJ,PRIMARY,,
CLSRC2,PRIMARY,,,,
CLSRC3,PRIMARY,,,,
CLSRC4,PRIMARY,,,,
CLSRC5,PRIMARY,,,,
CSRC1,PRIMARY,,,,
CSRC2,PRIMARY,,,GaiaDR2,
CSRC3,PRIMARY,,,GaiaDR2,
CSRC4,PRIMARY,,,GaiaDR2,
CSRC5,PRIMARY,,,sky,
CID1,PRIMARY,,,,
CID2,PRIMARY,GAIAID,PRIMARY,,
CID3,PRIMARY,GAIAID,PRIMARY,,
CID4,PRIMARY,GAIAID,PRIMARY,,
CID5,PRIMARY,,,sky,
CRA1,PRIMARY,,,,
CRA2,PRIMARY,TARGRA,PRIMARY,,
CRA3,PRIMARY,TARGRA,PRIMARY,,
CRA4,PRIMARY,TARGRA,PRIMARY,,
CRA5,PRIMARY,,,,
CDEC1,PRIMARY,,,,
CDEC2,PRIMARY,TARGDEC,PRIMARY,,
CDEC3,PRIMARY,TARGDEC,PRIMARY,,
CDEC4,PRIMARY,TARGDEC,PRIMARY,,
CDEC5,PRIMARY,,,,
