Keyword,Description,Units,DataType,ExampleValue,PopulatedBy
DATAPRL0,QC: GREEN/RED amps present and populated,,int,1,QCL0
KWRDPRL0,QC: required L0 PRIMARY keywords present,,int,1,QCL0
EMSCIPR,QC: EXPMETER_SCI extension present and populated,,int,1,QCL0
EMSKYPR,QC: EXPMETER_SKY extension present and populated,,int,1,QCL0
TELEPR,QC: TELEMETRY extension present and populated,,int,1,QCL0
CAHKPR,QC: CA_HK extension present and populated,,int,1,QCL0
DATTIMOK,QC: Dates/times consistent (DATE-BEG/MID/END/ELAPSED),,int,1,QCL0
EXPTIMOK,"QC: EXPTIME finite/non-neg, matches ELAPSED",,int,1,QCL0
READOK,QC: CCD read properly (not a smeared 6-6.7 s readout),,int,1,QCL0
NTPOK,QC: NTP clock error < 100 ms,,int,1,QCL0
GUIDEROK,QC: guiding error RMS/bias within 50 mas,,int,1,QCL0
GDRCAMOK,QC: guide camera not saturated,,int,1,QCL0
SEEINGOK,QC: V-band seeing < 1.5 arcsec,,int,1,QCL0
ELEVOK,QC: telescope elevation above 30 deg (ADC working range),,int,1,QCL0
TARGETOK,QC: pointing consistent with target/catalog RA/DEC,,int,1,QCL0
ASTROMOK,QC: catalog epoch/equinox/rv/parallax/PM in physical range,,int,1,QCL0
COLOROK,QC: catalog color present and in physical range,,int,1,QCL0
EMTIMEOK,QC: exposure meter times consistent with shutter window,,int,1,QCL0
EMFLUXOK,QC: exposure meter flux not saturated or negative,,int,1,QCL0
TEMP10,QC: both CCDs within 10 mK of their temperature setpoints,,int,1,QCL0
TEMP100,QC: both CCDs within 100 mK of their temperature setpoints,,int,1,QCL0
TEMP1000,QC: both CCDs within 1000 mK of their temperature setpoints,,int,1,QCL0
ETATMPOK,QC: etalon chamber temperatures at their setpoints,,int,1,QCL0
AGITOK,QC: agitator running above minimum speed,,int,1,QCL0
DEADPXOK,QC: dead pixel fraction within limits on both CCDs,,int,1,QCL0
SATPXOK,QC: over-exposed pixel fraction within limits on both CCDs,,int,1,QCL0
NOTJUNK,QC: obs_id not in junk list,,int,1,QCL0
TCSOFF,Pointing offset from TCS/DCS target (arcsec),,float,0.12,DiagL0
OBJOFF,Pointing offset from OBJECT SIMBAD position (arcsec),,float,0.31,DiagL0
GAIAOFF,Pointing offset from GAIAID position (arcsec),,float,0.28,DiagL0
DEADPXFG,Fraction of raw GREEN pixels below 1.0e4 D.N.,,float,0.0021,DiagL0
DEADPXFR,Fraction of raw RED pixels below 1.0e4 D.N.,,float,0.0018,DiagL0
SATPXFG,Fraction of raw GREEN pixels above 5.0e8 D.N.,,float,0.0,DiagL0
SATPXFR,Fraction of raw RED pixels above 5.0e8 D.N.,,float,0.0,DiagL0
EMSCISAT,Saturated SCI exposure meter elements per reading,,float,0.0,ExposureMeter
EMSCINEG,Longest run of negative SCI exposure meter channels,,int,0,ExposureMeter
EMSCIINF,Longest run of non-finite SCI exposure meter channels,,int,0,ExposureMeter
EMSKYSAT,Saturated SKY exposure meter elements per reading,,float,0.0,ExposureMeter
EMSKYNEG,Longest run of negative SKY exposure meter channels,,int,0,ExposureMeter
EMSKYINF,Longest run of non-finite SKY exposure meter channels,,int,0,ExposureMeter
SKYSCIMS,SKY/SCI flux ratio in main spectrometer scaled from EM data,,float,0.0013,ExposureMeter
EMSCCT48,Cumulative EM counts in SCI in 445-870 nm (ADU),,int,89412300,ExposureMeter
EMSCCT45,Cumulative EM counts in SCI in 445-551 nm (ADU),,int,18324500,ExposureMeter
EMSCCT56,Cumulative EM counts in SCI in 551-658 nm (ADU),,int,23117800,ExposureMeter
EMSCCT67,Cumulative EM counts in SCI in 658-764 nm (ADU),,int,24980100,ExposureMeter
EMSCCT78,Cumulative EM counts in SCI in 764-870 nm (ADU),,int,22989900,ExposureMeter
EMSKCT48,Cumulative EM counts in SKY in 445-870 nm (ADU),,int,118400,ExposureMeter
EMSKCT45,Cumulative EM counts in SKY in 445-551 nm (ADU),,int,24100,ExposureMeter
EMSKCT56,Cumulative EM counts in SKY in 551-658 nm (ADU),,int,30600,ExposureMeter
EMSKCT67,Cumulative EM counts in SKY in 658-764 nm (ADU),,int,33100,ExposureMeter
EMSKCT78,Cumulative EM counts in SKY in 764-870 nm (ADU),,int,30600,ExposureMeter
GTEMPOFF,GREEN CCD temperature offset from setpoint (mK),,float,1.4,Telemetry
RTEMPOFF,RED CCD temperature offset from setpoint (mK),,float,2.1,Telemetry
ETATOFF,Etalon chamber temperature offset from setpoint (mK),,float,0.8,Telemetry
GDRXRMS,Guider x-coordinate RMS guiding error (mas),,float,18.4,Guider
GDRYRMS,Guider y-coordinate RMS guiding error (mas),,float,19.7,Guider
GDRRRMS,Guider r-coordinate RMS guiding error (mas),,float,27.0,Guider
GDRXBIAS,Guider x-coordinate bias guiding error (mas),,float,-2.3,Guider
