Keyword,Description,Units,Data Type,Example,Populated By
OBSGEO-Y,Cartesian Y for barycentric correction,meters,Float,-2492806.591,KPF0.standardize_headers
OBSGEO-Z,Cartesian Z for barycentric correction,meters,Float,2151240.194,KPF0.standardize_headers
SEEING,Seeing at beginning of exposure,arcsec,Float,0.87,DiagL0
AIRMASS,Airmass at start of exposure,secZ,Float,1.16,
ROTANG,Rotator angle,deg,Float,80.3,
SUNEL,Sun elevation angle,deg,Float,-35.6,DiagL0
MOONANG,Target-Moon angle,deg,Float,111.3,DiagL0
MOONEL,Moon elevation angle,deg,Float,26.8,
MOONILLU,Moon illumination,%,Float,23.4,
MOONRV,RV of sunlight reflected off the Moon,km/s,Float,1.3,
INHUM,Relative humidity inside the dome,%,Float,12.4,
INHUMT,INHUM timestamp,UTC,String,2024-04-05T11:08:33,
OUTTMP,Outside temperature,deg C,Float,0.6,
OUTTMPT,OUTTMP timestamp,UTC,String,2024-04-05T11:08:33,
OUTHUM,Outside relative humidity,%,Float,18.2,
OUTHUMT,OUTHUM timestamp,UTC,String,2024-04-05T11:08:33,
OUTPRES,Outdoor atmospheric pressure,kPa,Float,61.6,
OUTPREST,OUTPRES timestamp,UTC,String,2024-04-05T11:08:33,
ENVWINDS,Wind speed,m/s,Float,6.2,
ENVWINDD,Wind direction,angle,Float,133.5,
M1TMP,Primary mirror temperature,deg C,Float,2.1,
M1TMPT,M1TMP timestamp,UTC,String,2024-04-05T11:08:33,
SUMMFLAG,Summary roll-up of the other flag keywords,,String,Pass,
TELFLAG,Issues with observatory or telescope?,,String,Pass,
INSTFLAG,Issues with instrument?,,String,Pass,
DRPFLAG,Issues with pipeline?,,String,Pass,
ADDFLAG,Additional team-defined flag,,String,Pass,
OBSFLAG,Observer pass/fail for exposure,,String,Pass,
DQLVL0,L0 quality-check bitfield,,UInt,0,
DQLVL1,L1 quality-check bitfield,,UInt,0,
DQLVL2,L2 quality-check bitfield,,UInt,0,
DQLVL4,L4 quality-check bitfield,,UInt,0,
FULLCOMP,Is this file fully EPRV-standard compliant?,,String,Yes,
DRPSTATU,DRP reduction status (WMKO req.),,String,Radial Velocity module complete,KPF0.standardize_headers
DRPVERNO,Pipeline version (WMKO req.; EPRV equivalent is DRPTAG),,String,3.0.0,KPF0.standardize_headers
DRPTAG,RV DRP version,,String,3.0.0,KPF0.standardize_headers
DRPHASH,Git commit hash,,String,277e3a1d99628d9fcef494797887663119,KPF0.standardize_headers
EPRVTAG,Version of EPRV standard applied,,String,v0.4.0,KPF0.standardize_headers
VOCLASS,EPRV standard release identifier,,String,EPRVSTANDARD2026.06,KPF0.standardize_headers
